,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,TF-IDF scores,top_word
261,2021-11-23,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,"We applied for a conventional refinance on   and were pre-approved that day, then paid to lock in the rate and spent hours uploading documents. My income comes from self-employment with over 20 years of history ; and my income had dropped more than 30 % from  to  because I had an unusually busy year in  and then business declined due to the pandemic. Our income was still sufficient to qualify for refinancing - and my income increased substantially this year, documented by     reporting and copies of bank statements showing client deposits for my services. We also have documented assets of more than 7 times the amount we sought to borrow. "" Better '' underwriters decided to exclude my income totally, citing compliance with  regulations. I contacted  and learned that they provide guidelines, not regulations. Our credit rating has consistently been in the excellent range ; we have never missed a payment on anything and consistently prepay mortgage principal ; and when I requested a denial letter to send to , the ""  '' staff would not state that they excluded my income. I believe I am being discriminated against because I am self-employed.",,"Better Mortgage, Inc.",NJ,08558,,True,Web,2021-11-23,Closed with explanation,True,True,4939887,[0. 0. 0. ... 0. 0. 0.],"['income', 'consistently', 'self']"
263,2020-04-29,Mortgage,Home equity loan or line of credit (HELOC),Trouble during payment process,,"Attempting to make principle only payments to a HELOC acct on multiple occasions. I h ave tried both the website and the app to transfer funds from a checking acct to the Flexline acct. It is set up with an auto bill payer feature that makes an interest payment. If I schedule a principle only payment it takes a long time ( weeks ) to  post to the acct. while interest is accruing. If I call my local branch and have a rep do it, it posts that day or the next business day. I understand this may seem like a small amount but if theyre doing it with thousands of accts it would be significant. I have no idea if its illegal, but it absolutely seems unethical.",,FIFTH THIRD FINANCIAL CORPORATION,WV,25704,,True,Web,2020-04-29,Closed with explanation,True,True,3628369,[0. 0. 0. ... 0. 0. 0.],"['principle', 'payment', 'payer']"
266,2018-10-24,Mortgage,Home equity loan or line of credit (HELOC),Closing on a mortgage,,"Presently, I have a HELOC account established with Wells Fargo, {$0.00} balance in the account. 
I was sent two letters on //2018 informing me that Wells Fargo needs verification that I have current homeowners insurance on the property that I use as collateral for this HELOC loan. ( This property is located in , Tennessee ) The first of these two letters was received //2018. This letter states that I have 45 days to respond, or risk having the account closed. I took immediate action, notifying my insurance provider of this need. Proof of insurance was faxed on // to Wells Fargo. 

The second letter was received //2018. This letter informed me that if immediate action was not taken that insurance would be secured on my behalf by Wells Fargo, at a cost that may be much more expensive that my present policy.

The local branch office of Wells Fargo was notified of these two conflicting letters. They agreed that an internal communication problem existed within the department of "" Hazard Insurance Processing Center. '' A third letter was received //2018 stating that they have cancelled the temporary insurance coverage that was obtained on my behalf on //2018. ( before receiving notice from the first two letters )",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,IA,50265,,True,Web,2018-10-24,Closed with explanation,True,True,3054916,[0. 0. 0. ... 0. 0. 0.],"['insurance', 'account', 'immediate']"
269,2021-05-17,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,"Complaint re : NewRez Loan I am writing to complain about the re-financing of an existing loan with NewRez LLC. This was a long-drawn out procedure that began in // and was closed at the end of // but there are still unresolved errors. Most of my complaints are about inefficient procedures by NewRez that are better suited to a business complaint site but I have 3 specific issues that are squarely within CFPB purview. These are 1. My loan closed on // ( and took effect on // after the 3-business day waiting period ). I paid 5 months escrow property tax because a tax payment was due //. As of //, NewRez has not paid the property tax that was due, instead holding my money that I had already paid them in escrow. 

2. I sent a written notice of error to NewRez on //. No acknowledgment of receipt of this notice of error has bene forthcoming as of // ( 9 business days later ). I called on // and alerted them to the error and sent a copy of the property tax bill to the helpfful lady who answered my call. The best she could do was to promise me to "" Open a research inquiry and respond within 15 business days '', no fault of hers but a bit ridiculous since they actually had a copy of the tax bill showing that the amount was due on  and they had not paid it. 

3. The underwriting process is broken - they never provide a comprehensive checklist of documents that the client has to provide. Instead they ask for docs, a few weeks later ask to clarify certain things like a transfer to a bank account, then wait more weeks and ask for updated docs  pay stubs and bank statements in particular ), rinse and repeat. I must have submitted paystubs and bank statements 7-8 times over 6 months. The final irony was when they wrote back to say my loan amount was inaccurate because I was getting too much cash back solely because they had dragged the process out for so long that I had paid my loan principal down so much. The most important consequences of this delay were i ) the need to re-run my credit ( a second hard inquiry that dinged my credit score ) ; ii ) the need to re-cert my appraisal ( although they did credit me for that fee ) and iii ) the fact that my new mortgage payment was {$600.00} less than the old one, so I paid {$3600.00} extra over the dragged out refinance of which I assume at least half was due to unnecessary foot-dragging.",Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",MA,02482,,True,Web,2021-05-17,Closed with explanation,True,True,4382332,[0. 0. 0. ... 0. 0. 0.],"['tax', 'business', 'dragged']"
271,2021-03-12,Mortgage,FHA mortgage,Trouble during payment process,,"My mortgage was transferred from   to BSI Financial on //2021. I have received no welcome packet, no statement, and no information from BSI Financial. I have talked to BSI on the phone multiple times and they refuse to accept my payment, and will not even disclose how much my payment is, because they say my Chapter  repayment plan forbids them from taking a payment or discussing the account. BSI states they will not even send me statements on my account due to the bankruptcy. They told me I could mail in a payment, but refuse to tell me how much the payment is. They indicated they would not provide me with a receipt of any payments I send. I asked them if they were trying to force me into default and they refused to give me an answer. My mortgage is a "" direct pay '' and isn't even part of my Ch.  filing. I can't make a payment and my mortgage is already 10 days past due. I'm scared and don't know what to do.",,"BSI Financial Holdings, Inc.",IN,47630,,True,Web,2021-03-12,Closed with explanation,True,True,4205654,[0. 0. 0. ... 0. 0. 0.],"['payment', 'account', 'mortgage']"
272,2015-12-02,Mortgage,FHA mortgage,Settlement process and costs,,"Bank of America told me that I could get a 30 year FHA mortgage loan through them at 3.8 % with no points and only a loan origination fee of approximately {$1000.00}. I was sent a GFE with those terms. The day before closing, I was sent the paperwork and noticed that I was being charged points and a bigger loan origination fee ( totaling {$3400.00} instead of {$1000.00} ). The seller 's bank would not approve pushing closing back while I looked into the discrepancy, so I asked my loan officer about the differences and he apologized and said he would check on getting me a refund after closing. During one of our discussions after closing, he said that I signed a document agreeing to the points and additional fees, so there was nothing he could do. I asked for a copy of the document. It was one that was sent to me in the mail in a packet that I did sign, but the listed charges that were later listed as points and loan origination charges were listed as 'settlement charges ' and since he told me there were no points and the only bank fee was ~ {$1000.00}, I believed the 'settlement charges ' were charges that were unrelated to points or bank fees, but rather charges that are standard and everyone pays with every FHA mortgage . When I explained this to him, he said that he would look into in and get back with me. Every time I contact him and ask him for an update, he says something like, 'let me check ' and never gets back to me. I feel this is very deceptive and they should refund me the {$2400.00} extra they charged.",Company chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,34669,,True,Web,2015-12-02,Closed with explanation,True,True,1679149,[0. 0. 0. ... 0. 0. 0.],"['origination', 'listed', 'fee']"
274,2019-08-24,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,"During the 2nd week of //, I received my annual Escrow Account Disclosure Statement. Since this is the first year with Loancare as my mortgage servicer, this is the first time they have provided me this letter.

On the Annual Escrow Account Disclosure Statement, it was noted that I had an escrow surplus of {$150.00}. In other words, I had paid more into escrow than was necessary. As such, Loancare issued me a check for {$150.00}.

Also on the Annual Escrow Account Disclosure Statement, my semiannual property ( county ) tax disbursements were listed. I own two parcels. For one of the parcels, the semiannual property tax disbursement transferred identically from // to //, which is accurate. For the second parcel, a rear, half acre parcel on which there is no structure, no improvement, no change, Loancare noted that my semiannual tax disbursement would increase from {$67.00} to {$1300.00}. This equates to a difference of {$2600.00} for the year! As a result, my monthly escrow payment increased from {$590.00} to {$770.00}. This is almost {$200.00} more per month.

When I noticed this issue in early //, I began calling Loancare. At the time, they said that this issue would be fixed by //. It is now // and I have had to make two mortgage payments that are almost {$200.00} more per month than I had planned. I did not budget for this.

To date, I have called Loancare 7 times. I have sent them 3 emails via their customer service contact email address. I have received no response to any of the emails - either by phone, email, or mail. During those calls and within those emails, I have discussed the Annual Escrow Account Disclosure Statement, I have provided a link to my county auditor 's page for the parcel in question, I have provided the phone number to my county auditor, and I have explained the situation clearly and thoroughly. I don't know what more I could do - I've basically done their job for them, and yet they have taken no action on their end.

Today, I was told that this process may take another month or more. Simply put, I don't have the money to continue to make monthly payments that are {$200.00} more than they are supposed to be.

I don't know if Loancare is simply negligent ( i.e., they don't care about their customers at all ) or fraudulent ( they hike escrow payments in the hopes that borrowers default on their mortgages ), but something is amiss. This is the 6th property I've owned, and I have NEVER experienced a single issue with a mortgage servicer until now.

Please investigate Loancare. If I - as an educated and experienced borrower - have been treated this way, if by doing my due diligence there has still been nothing done on their end, I shudder to think about what they're doing to others.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"LoanCare, LLC",OH,45601,,True,Web,2019-08-24,Closed with explanation,True,True,3352789,[0. 0. 0. ... 0. 0. 0.],"['escrow', 'semiannual', 'annual']"
275,2021-03-12,Mortgage,Conventional home mortgage,Trouble during payment process,,"I re-financed my home mortgage loan from a VA loan with   to a conventional loan with    in //. That loan was sold to the servicing company PHH Mortgage Services,   ,  , NJ . Tel :  and Fax : . 

My escrow account was also transferred to PHH Mortgage Services. My home insurance company is    . (  has been a phenomenal company-very good ). My first payment with PHH was  //. Even though PHH has had my insurance company 's mailing, billing, and contact information since , PHH has not paid  from my escrow account for my home insurance. 

My home insurance policy will now be canceled on // if PHH does not post their payment by that date. Today I confirmed with both  and PHH that PHH has all the correct information. 

I'm asking for government help to ensure that PHH will pay  for this payment and all future payments in a timely manner. Additionally, PHH has been a problem company for many citizens ' loans. I ask for a full investigation into their practices and the company in general. A quick  search will reveal that many people, 300+, have had serious issues with this company. If I continue to have issues with PHH, I am also asking for help in getting my loan sold to a different and responsible mortgage loan servicing company. 

Thank you for your service and urgent help in this matter.",,Ocwen Financial Corporation,NJ,08753,Servicemember,True,Web,2021-03-12,Closed with explanation,True,True,4205683,[0. 0. 0. ... 0. 0. 0.],"['company', 'mortgage', 'payment']"
277,2015-11-17,Mortgage,Other mortgage,"Application, originator, mortgage broker",,"Mortgage loan process with SunTrust Mortgage began on  , 2015. Contract specified 60 days to close. Due to numerous delays, as provided in the attached documentation, closing was delayed by 14 days. Additional expenses were incurred as a result of inefficient communications between me as the consumer and within the SunTrust mortgage organization, a two week time frame in which the application just sat on the desk of the both the loan processor and the underwriter, submission of blurred copies of vital  forms when clear copies were originally submitted with the loan application ; submission of appraisal documents that were not in compliance with  requirements when the correct documents were available, and a completely disjointed closing process that resulted in further delays. These expenses are detailed in the attached letter and supporting documentation. While the  program is designed to help those who need 100 % financing to secure decent, affordable housing, the process SunTrust employs to evaluate these loan applications could be considered discriminatory against those who are economically and educationally disadvantaged in our area.",Company chooses not to provide a public response,"SUNTRUST BANKS, INC.",GA,30728,,True,Web,2015-11-17,Closed with monetary relief,False,True,1658669,[0. 0. 0. ... 0. 0. 0.],"['process', 'submission', 'mortgage']"
279,2020-03-24,Mortgage,VA mortgage,Trouble during payment process,,"AmeriHome Mortgage Company, instead of sending one monthly bill on a set schedule, sends out a new bill every time you make a payment. When a lender sends me a bill, I pay it. As such, I have made 31 payments to AmeriHome Mortgage in the last 25 months ( 6 extra  payments to this company ). In both  and  , I made 2 payments each month. I made 3 payments in  , 2 payments in //, 2 payments in // and again in  . I have made 2 payments in //. As a consumer, I should be able to expect to receive one bill each month on a set schedule. I received a statement date of //, with the payment due //. It stands to reason that the statement date of // should have a payment due date of //. No, they put the payment due date as // in both  and , giving me a 2-day window to pay the // statement ( thank God it's leap year, so I got that one extra day ). They charged a {$38.00} late fee, although they're payment system makes no logical sense and I'm 6 payments ahead of schedule. I believe AmeriHome Mortgage should send consumers one bill per month on a set schedule. Again, I have made 31 payments in 25 months, based upon their wacky billing system.",,"AmeriHome Mortgage Company, LLC",AZ,85933,"Older American, Servicemember",True,Web,2020-03-24,Closed with explanation,True,True,3578741,[0. 0. 0. ... 0. 0. 0.],"['payment', 'schedule', 'date']"
280,2022-08-05,Mortgage,Home equity loan or line of credit (HELOC),Applying for a mortgage or refinancing an existing mortgage,,"In  of 2022, I applied for HELOC with Flagstar bank ( who also had my mortgage ). In //2022, I was two months into the process when they said that I had not made a payment on my mortgage in  of 2022. I told them that is 100 % false. We made a payment in //2022 of the normal mortgage amount. But because we have it set up on auto pay from the bank, apparently, unnoticed by us, escrow went up at the end of the year and the payment increased {$62.00}. We paid the dirrence within days. In ten years of owning the house we never had a late payment. 

On //2022, Flagstar declined my application because of the "" late '' payment. They wasted my time for 2 months, when they had this information in their file the entire time. They said management would not give an exception because Flagstar sent a notice ( the payment invoice ) that the amount changed. ( I get that. But if they don't give an exception for that, what do they give exceptions for ). Now i have to start over with another company because one payment was {$62.00} short.. My problem was that i actually went with the company that had my first mortgage. If I would have gone with another company, it would not have been an issue because it was cured within 30 days, so it was never put on my credit.

.

Whatever you do, do not use Flagstar, for anything",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Flagstar Bank, N.A.",LA,70769,Servicemember,True,Web,2022-08-05,Closed with explanation,True,True,5847464,[0. 0. 0. ... 0. 0. 0.],"['payment', 'mortgage', 'exception']"
281,2017-04-24,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,"On            I called  US Bank  regarding a letter they sent me that my mortgage was going to mature in       and that I had to pay in full the remaining balance or refinance. I called to discuss my options on refinancing the home. After a discussion on loan balance on my primary and secondary and home value, it was told to me that I did not qualify to refinance. I then asked what my options were if the loan matured and what would happen. The representative said she could not help as she only handled refinances and would need to transfer me to Customer Service. I spoke to the Customer Service representative and she then said she could not handle and would need to transfer me to a loa n specialist. After reviewing my situation with the specialist she could not help me and said that my only option was to speak to the loan modification specialist. I then spoke to the loan modification specialist and she explained that i  would need t o apply for the loan modification and depending on my case it may or may not be approved. She advised me to wait until my loan matures which is 1 year away. I told her I did not  want to wait as I wanted to work with the bank to get this resolved now and discuss my options. I could not qualify for the refinance because my house would not appraise at the value to meet a 90 % loan to value threshold. She indicated that the loan modification application would be mailed to me. She said it would take    days to bet processed but did warn me that if I accepted the modification that it would impact m y credit score.      What surprises me is that I have been a customer for 20 years wit h US Bank and h ave been in good standings throughout that timeframe. I am calling to try to work with the bank to arrange a solution and they have nothing to offer. She indicated that when it matures I would go in to collections for the full amount which in turn would impact my credit. I asked that she check with a superior as I clearly did not fall in to the normal criteria for modifications and not sure I need a modification but it appears no one I spoke to had any solutions or support.      US Bank has a long standing customer with excellent credit ( 800+ score ) and they have no other solution than to tell me to wait and/or apply for a modification ( which most likely I would not qualify for ). In the meantime I will submit for the modification to see what the formal outcome is but it seems inappropriate that a good customer would have to negatively impact their credit score. I am proactively trying to resolve my situation and it appears that the bank is giving me no options. The customer service I received is terrible but It appears that if I had been in a defaulting status and not fulfilling my responsibilities that I might have some options. Its unfortunate, that I could not get someone to work with me to a positive result for both of us.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,AZ,85268,,True,Web,2017-05-01,Closed with explanation,True,True,2465013,[0. 0. 0. ... 0. 0. 0.],"['modification', 'specialist', 'customer']"
283,2018-11-17,Mortgage,Reverse mortgage,Closing on a mortgage,,"I purchased insurance on my home on // to comply with my reverse mortgage. On or about   , I received a notice from  claiming I had not purchased insurance on my property. I wrote them back on   with all the information they requested about the insurance I had already purchased. On or about //, I received another letter from  claiming that I had still not purchased insurance on my property. I called them back right away and the  rep. took all the information again to show I had the insurance.   ignored all of my communications with them, and even though they had all of my information and could have called me or sent an email, on or about //, I received yet another letter from  claiming that I had not purchased any insurance. I notified the agent for the insurance I had purchased back in , and he sent a fax to   on // with all the information about my policy. I also on that date sent a certified letter to  informing them of the many attempts I had made to inform them that I had insurance. On or about //, I received a letter from   that they had used my funds to purchase a second insurance policy on my home, and that the purchase would show up on the next report of how much I had available in my line-of-credit with them. 

As their actions have now cost me {$1700.00} to pay for a full year of what they claim is a second insurance policy on the same property, my home, and as they continue to ignore any communications from me, I am convinced that this is another scam to cheat the elderly. Can you help me, and what do you advise I do?",,"Peer Advisors, LLC",FL,34286,,True,Web,2018-11-17,Closed with explanation,True,True,3077273,[0. 0. 0. ... 0. 0. 0.],"['insurance', 'policy', 'information']"
285,2020-10-31,Mortgage,Conventional home mortgage,Trouble during payment process,,"I previously had a mortgage loan with Axos Bank on my primary residence. That loan was paid in full ( through a refinance with another lender ) on //2020. 

Since that time, Axos Bank has continued to auto-debit mortgage payments from my checking every month on approximately the  of each month. Thus far they have taken five payments from my checking account *since the loan was paid off*. After each debit, they do send a check to reimburse the amount, but it takes about 3-4 week to arrive. 

I have attempted to resolve this issue with Axos Bank multiple times. Each time they promise the checking account auto-debit has been taken care of. 

I would like these debits to immediately stop, as well as Axos Bank to pay me interest on the debited funds, and a penalty for my time and trouble resolving this.",,"AXOS FINANCIAL, INC.",NE,68510,,True,Web,2020-10-31,Closed with explanation,True,True,3929961,[0. 0. 0. ... 0. 0. 0.],"['debit', 'account', 'bank']"
286,2018-08-07,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,"Please provide me with a copy of the Note for loan number  as it relates to     , NC . I submit this as a Qualified Written Request under the Real Estate Settlement and Procedures Act ( section 2605 ( e ) ). Thank you,  ",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SUNTRUST BANKS, INC.",NC,28480,,True,Web,2018-09-13,Closed with explanation,True,True,2984200,[0. 0. 0. ... 0. 0. 0.],"['section', 'qualified', 'settlement']"
288,2021-05-20,Mortgage,Conventional home mortgage,Closing on a mortgage,,"I sold my home on //2021. Later I received a call from the lender, NewRez Shellpoint Mortgage Services telling me the title/escrow company had not sent enough money to close the loan. I reached out to my escrow agent at    and they double checked on the phone that they sent the amount in the Payoff they received. I forwarded on the information, and telephone number of the agent that called me from NewRez Shellpoint. They spoke one time and were suppose to receive additional documents. They never received anything and have continued to reach out to this agent with no reply. I have attempted to reach this agent with no reply. I am being charged around  dollars interest a day. This amount left is on my credit report and potentially damaging my credit. I need this addressed. 

 ",Company believes complaint is the result of an isolated error,"Shellpoint Partners, LLC",OR,97222,,True,Web,2021-05-20,Closed with explanation,True,True,4392016,[0. 0. 0. ... 0. 0. 0.],"['agent', 'escrow', 'reply']"
289,2016-11-30,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,"I was in the process of submitting paperwork for loan modification with  Mortgage , after submitting documentation with Making Home Affordable to them with  number , and received and signed by "" , '' on //16,  mailed on //16 ), when I received a foreclosure complaint from     listed as plaintiff, by their attorney   of Reimer Arnovitz Chernick & Jeffrey CO LPA in , , Summoned by   with Case Number .",,"Reimer, Arnovitz, Chernek &Jeffrey Co., LPA",OH,43511,,True,Web,2016-11-30,Closed with explanation,False,True,2229640,[0. 0. 0. ... 0. 0. 0.],"['foreclosure', 'modification', 'plaintiff']"
290,2015-06-09,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,"MY SERVICER, BAYVIEW LOAN SERVICING LLC, HAS BEEN PROCESSING A SHORT SALE TRANSACTION. I AM ATTEMPTING TO AVOID A FORECLOSURE SALE. BAYVIEW 'S APPROVAL PROCESS ON THIS REQUEST IS EXTRAORDINARILY LONG. BAYVIEW INDICATED THAT THE TRANSACTION IS TAKING TOO LONG ( BECAUSE OF BAYVIEW 'S DELAYS ). BAYVIEW HAS SET A FORECLOSURE SALE FOR  , 2015. I HAD MADE A REQUEST FOR POSTPONEMENT. A CALL WAS MADE YESTERDAY TO CHECK ON THE STATUS OF THE REQUEST FOR POSTPONEMENT.  AT EXTENSION  INDICATED THAT SHE DID NOT HAVE INFORMATION ON THE FORECLOSURE SALE AND NO ONE IS AVAILABLE TO PROVIDE THAT INFORMATION.",,"Community Loan Servicing, LLC (formerly known as Bayview Loan Servicing, LLC)",CA,94020,,True,Web,2015-06-09,Closed with explanation,False,True,1412848,[0. 0. 0. ... 0. 0. 0.],"['foreclosure', 'postponement', 'sale']"
291,2015-08-14,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"Nationstar mortgage has incompetent and irresponsible accounting practices. Since they have acquired my loan, they have missed property tax payments due from my impound account, lost payments, miscalculated unpaid balance owed with timely payments, and have the audacity to send me a letter saying I owe them a late fee. My credit scores are over , and I 've never missed a payment on anything. EVER! I do not trust they are operating with a fiduciary responsibility to their clients. It 's unethical to place a customer, who is making early on/time payments in harms way with regard to their credit. Their poor accounting practices are placing my credit in harms way.",,NATIONSTAR MORTGAGE LLC,CA,92821,Older American,True,Web,2015-08-14,Closed with explanation,False,True,1519857,[0. 0. 0. ... 0. 0. 0.],"['accounting', 'credit', 'operating']"
292,2015-06-02,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,"in // my credut report clearly shows im register owner for realestate, finance, insurance, amusment// my mutual fund forged fraudlenty traded by citigroup,   citigroup fraudulenty underwriting commercial property from //-//",Company chooses not to provide a public response,"CITIBANK, N.A.",TX,75211,,True,Web,2015-06-02,Closed with explanation,False,True,1401826,[0. 0. 0. ... 0. 0. 0.],"['commercial', 'register', 'forged']"
293,2022-10-21,Mortgage,Conventional home mortgage,Trouble during payment process,,My escrow anylist get done on //26 as state mandated. And my new payment will start on  every year. This year my mortgage company Mr cooper made a mistake on my escrow they doubled charged me for home owners insurance. So I called and ask them to correct the mistake. And I did paid shortage so my monthly payment wouldnt go higher. They did run new escrow but started my new payment from . It should be starting from . So called multiple times every time they said nothing to worry we will fixing it before the payment is due. And if not fixed they will credit me the difference. But now after paying the payment they refused to do anything. So I would like to file a complaint. Mr cooper .,,NATIONSTAR MORTGAGE LLC,NJ,08817,,True,Web,2022-10-21,Closed with explanation,True,True,6115175,[0. 0. 0. ... 0. 0. 0.],"['payment', 'escrow', 'mistake']"
294,2018-11-17,Mortgage,Conventional home mortgage,Trouble during payment process,,"In recent weeks and last night I received disturbing calls from men relative to SLS : // the first identified himself as   with TN   said he was from SLS and had me confirm my address and loan number. 
 threatened me with legal actions such as foreclosure and said he was turning over "" my case '' to SLS legal dept. He mentioned a payment of $ 900+, he said I owed him. When I asked to call him back, I did so but got his voice mail and then he called me back immediately and continued his threats. 
Since I had been spending hours of time on the phone with SLS through out the month of // with insurance escrow problems ; ( see - ) I thought this call was maybe legit. 
I immediately reported this complaint to SLS and I got the run around with four different SLS departments. The reps said it wasn't their problem and that their department didnt handle fraudulent calls and they finally gave me their "" Executive Services number  . Then ... Last night , a man named  called from SLS Executive SVCS. 
 would not identify his company! I got angry as I could see it was SLS and and he hung up on me! He would NOT say he was from SLS but I could see the  ID on my cell phone. He demanded I identify myself but I would not as he had called me!",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Specialized Loan Servicing Holdings LLC,WI,53024,Older American,True,Web,2018-11-17,Closed with explanation,True,True,3078163,[0. 0. 0. ... 0. 0. 0.],"['identify', 'executive', 'night']"
296,2017-04-19,Mortgage,VA mortgage,"Loan servicing, payments, escrow account",,"I have been going through the loan modification  with PHH Mo rtgage and was finally approved in      . I finally received my loan modification  ( trial documents ) i n      . I have made all three required payments as set out in the loan modification paperwork ( please see attached copies of check s ). All ch ecks were sent overnight signature required. I contact ed PHH Mortgage  on several different occasions to confirm receipt of payments and was told that my account was current. I recently spoke with my personal ca se manager on  or about          and he confirmed that my account is in good standing and that all payments had been received. I received a call this morning,          at    from my VA representative informing me that he had been contacted on          by PHH Mortgage that my account was delinquent and he wanted to know if I had fallen behind on any payments. I assured him that all payments had been made and in fact I had just recently confirmed this information with my  case manager. This  seems to be an ongoing issue w ith PHH Mo rtgage and their lack of accurate book keeping. This is my third complaint to CFPB regarding this mortgage company and I feel it will not be my last.",,PHH Mortgage Services Corporation,TX,76106,Servicemember,True,Web,2017-04-19,Closed with explanation,False,True,2442557,[0. 0. 0. ... 0. 0. 0.],"['modification', 'account', 'mo']"
297,2021-02-13,Mortgage,Conventional home mortgage,Trouble during payment process,,"My mortgage was purchased by PennyMac. After buying my mortgage, they sent a letter threatening to buy force-placed homeowner 's insurance given that my coverage was not enough under the terms of my mortgage/deed of trust. They did not provide any evidence to support this claim - I met all requirements from my original lender and PennyMac bought my mortgage from that lender within a month of me receiving that loan. PennyMac is making it exceedingly difficult to talk to someone about this. They have no email where I can contact them, only a fax. The phone number they provide has a recording that makes it impossible to talk to someone.",,"PENNYMAC LOAN SERVICES, LLC.",FL,33133,,True,Web,2021-02-13,Closed with non-monetary relief,True,True,4138476,[0. 0. 0. ... 0. 0. 0.],"['mortgage', 'talk', 'exceedingly']"
300,2020-11-25,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,"I am a senior citizen who believes that I am a victim of Predatory Lending. Please note that JP Morgan is the owner of my loan/note and not      . In my opinion,  is a call center operation hired by JP Morgan to collect all payments and administer the terms of the note and security instrument. I received a letter from  dated //2020 congratulating me on qualifying for a JP Morgan Trial Modification. The Interest Rate of the proposed modification : 2.87500 % ; Amortization Term of the proposed modification:480 months ( A 40 year Mortgage ) ; A proposed trail monthly payment of {$880.00} for 3 consecutive months. I am currently paying {$1700.00} monthly. I have approximately 180 months ( 15 years ) or less remaining on my current loan with JP Morgan. At my current age of , I do not want to take on a 40 year mortgage.",,JPMORGAN CHASE & CO.,MD,20886,Older American,True,Web,2020-12-09,Closed with explanation,True,True,3974202,[0. 0. 0. ... 0. 0. 0.],"['morgan', 'modification', 'note']"
301,2019-12-31,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,"Back in //2018, BEFORE I got behind on my payments, I contacted Mr. Cooper, my mortgage lender, and informed them that I was being placed on bedrest due to  complications. I requested any assistance that they could provide to help me with my mortgage while I was on bedrest to keep from falling behind. They told me that all I could do was apply for a loan modification. I applied and the modification was finally denied in  of 2018. I was informed that the reason for the denial was lack of income. The agent who informed me that my only option was a modification was well aware that I had no income due to my health status. I went back to work in , but now my mortgage is about 4 months behind, and Ive made my usual payment since then. All of my savings was used up while I was off work for almost 7 months. After returning to work, I was encouraged to reapply for the loan modification in hopes of saving my house. It was also denied on //2018, because my obligations exceed my income. Isnt that why I need the modification? I called on that day and spoke to a representative ( who told me why my modification was denied ) and asked who I could file a complaint with against their company and was told that my loan was an FHA loan so the FHA is my lender, and they dont take phone calls. The FHA doesnt lend money - they guarantee loans, AND I have a conventional loan. Mr Cooper has lied to me over and over. They have never tried to help me keep my home, and they still arent helping.",,NATIONSTAR MORTGAGE LLC,LA,71270,,True,Web,2019-12-31,Closed with explanation,True,True,3482050,[0. 0. 0. ... 0. 0. 0.],"['modification', 'income', 'mortgage']"
302,2021-10-13,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,"Cfpb, contacted those involved, offer was given to us, we accepted, signed docs and later were told before loan servicer merged with other entity we werent qualified,  was requested and proper tier bracket.,   has been involved since 2018 and felt that I should have legal representation due to the fraud of     said to represent me with securitization audit and quiet title action, her third party letter of authorization was included but when she was contacted, she stated she never had an office in     and never heard of me or  attorney services which was doing the work in     , and is showing as an address I have as residence on credit report. Fraud was found by   and  was credited but effects of Wrong IRS amount  and other put me wrong workout solution now merged with PHH. Conference call today scheduled today after furloughed due to  and returning to work. A balloon payment was added after we were told we canceled the original  offered. We did not cancel it. All is recorded by  a approved HUD counseling agency. Needing to become current with  gross income but IRS debt due from lack of represtation of  not supplying the actual debt.  legal was using  attorney services while taking funds electronically out of by bank account. Other attorney foreclosure rescue scam for  went to jail and left me hanging.   and , fraudulent also",,Ocwen Financial Corporation,NJ,08753,Servicemember,True,Web,2021-10-13,Closed with explanation,True,True,4804666,[0. 0. 0. ... 0. 0. 0.],"['attorney', 'involved', 'fraud']"
